Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S Prasad, A Abraham","Efficient title text detection using multi-loss: S. Prasad, A. Abraham",2025,"International Journal on Document Analysis and …","Springer","https://link.springer.com/article/10.1007/s10032-024-00500-y","",41,"2025-12-30 10:15:01","HTML","10.1007/s10032-024-00500-y","","",,,,,0,0.00,0,2,1,"Abstract YouTube's “Video Chapter” feature segments videos into different sections, marked by timestamps on the slider, enhancing user navigation. Given the vast volume of video …","https://link.springer.com/article/10.1007/s10032-024-00500-y","https://scholar.google.com/scholar?q=related:Gcc4lbPDSjAJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"S Prasad, R Paul, M Kamat","SequenceOut: Boosting CNNs by Freezing Layers",2025,"IEEE Signal Processing Letters","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10935680/","",56,"2025-12-30 10:15:01","","","","",,,,,0,0.00,0,3,1,"Convolutional neural networks (CNNs) are a powerful tool for various computer vision tasks, demonstrating exceptional performance in image classification, object detection, and …","https://ieeexplore.ieee.org/iel8/97/4358004/10935680.pdf","https://scholar.google.com/scholar?q=related:exMoN9-VSp4J:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"A Abraham, S Prasad, M Kashyap Pargi, ...","Computer Vision in Smart Parking Solution Systems: Enhancing Urban Mobility",2025,"Internet of Vehicles and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-72959-1_10","",80,"2025-12-30 10:15:01","","10.1007/978-3-031-72959-1_10","","",,,,,0,0.00,0,4,1,"Smart parking solutions are transforming urban mobility by utilizing technology to tackle the challenges of parking in crowded cities. These solutions incorporate sensors, data analytics …","","https://scholar.google.com/scholar?q=related:9l1QGGZ5UJwJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"V Gautam, S Prasad","YOLOv9++: An Improved YOLOv9 Detector for Plant Biometrics Using Pseudo-labels",2024,"International Conference on Computer Vision and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-93688-3_13","",81,"2025-12-30 10:15:01","","10.1007/978-3-031-93688-3_13","","",,,,,0,0.00,0,2,1,"Agriculture remains crucial to many economies worldwide, yet plant diseases threaten its productivity and sustainability. Early detection and timely treatment are essential for …","","https://scholar.google.com/scholar?q=related:cRNQiPDxR2wJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"S Chourasia, S Dethe, S Prasad","MDDAMFN: Mixed Dual-Direction Attention Mechanism to Enhance Facial Expression",2024,"International Conference on Computer …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-93703-3_2","",84,"2025-12-30 10:15:01","","10.1007/978-3-031-93703-3_2","","",,,,,0,0.00,0,3,1,"Facial expression recognition (FER) plays an important role in human-computer interaction (HCI). Building on the current state of the art, the Dual-Direction Attention Mixed Feature …","","https://scholar.google.com/scholar?q=related:67yJMEyA4nAJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"V Gautam, S Thakare, S Prasad, CP George","SkyGuard: Semi-supervised Drone Technology for Real-Time Traffic Rule Enforcement",2024,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-93691-3_10","",85,"2025-12-30 10:15:01","","10.1007/978-3-031-93691-3_10","","",,,,,0,0.00,0,4,1,"In today's transportation landscape, two-wheelers have become the dominant choice despite their inherent risks due to minimal protection. India alone saw an average of 304 …","","https://scholar.google.com/scholar?q=related:ETZiFv5iSlAJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"V Kumar, A Benzinou, K Nasreddine, ...","Semi-Supervised Learning based on Dynamic Distribution Alignment for Class Imbalance",2025,"… Conference on VISUAL …","hal.science","https://hal.science/hal-05318199/","",86,"2025-12-30 10:15:01","","","","",,,,,0,0.00,0,4,1,"Semi-supervised learning (SSL) faces significant challenges when applied to highly imbalanced datasets, often leading to biased pseudo-labels and degraded model …","https://hal.science/hal-05318199v1/file/IEEE_VCIP_2025.pdf","https://scholar.google.com/scholar?q=related:pd7Lkd8zV44J:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"Sumitra, S Prasad, S Dutta, S AV","Towards Safer Roads: Utilizing Synthetic Data and Neural Networks to Classify Safe Distances in Driving Scenarios",2024,"International Conference on Computer …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-93691-3_15","",87,"2025-12-30 10:15:01","","10.1007/978-3-031-93691-3_15","","",,,,,0,0.00,0,4,1,"This paper introduces an innovative methodology utilizing image analysis with neural networks (NN) to enhance driver awareness and mitigate road safety risks. By employing …","","https://scholar.google.com/scholar?q=related:UGiAO9EEqK8J:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"A Natekar, V Gautam, P Vijaykumar, S Prasad, ...","HyP-ECA: An Attention for Aerial Tree Crown Delineation and Species Classification",2024,"… on Computer Vision and …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-93691-3_17","",88,"2025-12-30 10:15:01","","10.1007/978-3-031-93691-3_17","","",,,,,0,0.00,0,5,1,"Traditional forest surveys have long relied on labor-intensive on-foot assessments conducted by specialized teams. However, recent advancements in Deep Learning-based …","","https://scholar.google.com/scholar?q=related:LPqG-zXuzqEJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"V Gautam, S Thakare, S Prasad","SkyGuard: Semi-supervised Drone Technology for Real-Time Traffic Rule",2025,"Computer Vision and Image …","books.google.com","https://books.google.com/books?hl=en&lr=&id=7XtyEQAAQBAJ&oi=fnd&pg=PA123&dq=%22shitala+prasad%22&ots=bmVWw-a8NP&sig=KImHpPDjfBDAtj29LAi2zpeqefs","",90,"2025-12-30 10:15:01","","","","",,,,,0,0.00,0,3,1,"In today's transportation landscape, two-wheelers have become the dominant choice despite their inherent risks due to minimal protection. India alone saw an average of 304 …","","https://scholar.google.com/scholar?q=related:TysCfuUlmwAJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"S Prasad, CP George","HyP-ECA: An Attention for Aerial Tree Crown Delineation and Species",2025,"… CVIP 2024, Chennai, India, December 19 …","books.google.com","https://books.google.com/books?hl=en&lr=&id=7XtyEQAAQBAJ&oi=fnd&pg=PA223&dq=%22shitala+prasad%22&ots=bmVWw-a8NR&sig=9bbdSvGYa-ZMsHoo7hq03XPXKlk","",92,"2025-12-30 10:15:01","","","","",,,,,0,0.00,0,2,1,"Traditional forest surveys have long relied on labor-intensive on-foot assessments conducted by specialized teams. However, recent advancements in Deep Learning-based …","","https://scholar.google.com/scholar?q=related:JKvgZHwUZG8J:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"PP Singh, DN Borah, J Basumatary, J Hazarika, ...","An Empirical Study on Tea Leaf Disease Detection on Utilizing Diverse Leaf Image Features",2024,"… Conference on Soft …","Springer","https://link.springer.com/chapter/10.1007/978-981-96-5958-6_46","",93,"2025-12-30 10:15:01","","10.1007/978-981-96-5958-6_46","","",,,,,0,0.00,0,5,1,"In this study, a machine learning (ML) based method is proposed for the early detection of plant leaf diseases. Tea leaf disease detection plays a crucial role in enhancing agricultural …","","https://scholar.google.com/scholar?q=related:d2HspFRbRLUJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"A Abraham, S Prasad","Challenges and Techniques to Improve Deep Detection and Recognition Methods for Text Spotting",2024,"Deep Learning for Multimedia Processing …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781032646268-16/challenges-techniques-improve-deep-detection-recognition-methods-text-spotting-anuj-abraham-shitala-prasad","",94,"2025-12-30 10:15:01","","10.1201/9781032646268-16","","",,,,,0,0.00,0,2,1,"The chapter focuses on exploring various challenges and deep learning (DL) techniques used in text detection and recognition. It offers a detailed analysis of different deep models …","","https://scholar.google.com/scholar?q=related:RBuzaNCGMqcJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"C Tang, Q Hang, S Prasad, Y Zhang, ...","Deep Learning-Based Small Sample Body Vein Recognition and Its Implementation",2024,"Available at SSRN …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4643060","",98,"2025-12-30 10:15:01","","","","",,,,,0,0.00,0,5,1,"In scenarios like forensic investigations, only RGB images of body parts, especially limbs, are available from surveillance. Traditional biometric methods like face, fingerprints, and iris …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4643060","https://scholar.google.com/scholar?q=related:rIa2Qm9i6akJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
0,"S Pai, S Mandrekar, S Phadte, A Naik, ...","TranslateKar: An Efficient Transformer Based Konkani Translator",2023,"… Conference on Emerging …","Springer","https://link.springer.com/chapter/10.1007/978-981-97-3090-2_25","",99,"2025-12-30 10:15:01","","10.1007/978-981-97-3090-2_25","","",,,,,0,0.00,0,5,2,"In this research, we introduce a bidirectional Neural Machine Translation (NMT) model that employs the Transformer architecture to facilitate translations between Konkani and English …","","https://scholar.google.com/scholar?q=related:QwNC9CHoKBEJ:scholar.google.com/&scioq=author:%22shitala+prasad%22&hl=en&as_sdt=2007"
